effect,estimator,learner,n_sim,duration,bias,variance,std,std_bias,mse,av_est_std,coverage
direct,one-step,glm_fast,100,28,0.0006863745,0.0002774893,0.01665801,0.04120387,0.0002779604,0.01539581,0.94
direct,one-step,glm_fast,200,66,-0.0004494406,0.0002702406,0.016439,-0.0273399,0.0002704426,0.01540242,0.945
direct,one-step,glm_fast,500,256,0.0007577187,0.0002608212,0.01614996,0.04691768,0.0002613953,0.01541723,0.94
direct,one-step,hal,100,60,0.0006827346,0.0002709446,0.01646039,0.04147741,0.0002714107,0.01535658,0.94
direct,one-step,hal,200,127,-0.000469712,0.0002727083,0.01651388,-0.02844346,0.000272929,0.01537274,0.935
direct,one-step,hal,500,492,0.0006697301,0.0002583457,0.01607314,0.04166767,0.0002587943,0.01540262,0.942
direct,TMLE,glm_fast,100,28,-0.009548932,0.0003930228,0.0198248,-0.4816659,0.0004842049,0.01537876,0.81
direct,TMLE,glm_fast,200,66,-0.00986378,0.0003822515,0.01955125,-0.5045088,0.0004795457,0.01539767,0.835
direct,TMLE,glm_fast,500,256,-0.009292589,0.0003726171,0.01930329,-0.4813991,0.0004589693,0.015407,0.838
direct,TMLE,hal,100,60,-0.00925948,0.0003779163,0.01944007,-0.476309,0.0004636542,0.01534995,0.86
direct,TMLE,hal,200,127,-0.009921131,0.0003772731,0.01942352,-0.5107792,0.000475702,0.01536134,0.825
direct,TMLE,hal,500,492,-0.00929894,0.0003743361,0.01934777,-0.4806208,0.0004608064,0.01539259,0.838
indirect,one-step,glm_fast,100,28,0.001189445,1.97582e-05,0.00444502,0.2675906,2.117298e-05,0.004523985,0.99
indirect,one-step,glm_fast,200,66,0.0007298047,1.804866e-05,0.004248371,0.1717846,1.858127e-05,0.004537201,0.965
indirect,one-step,glm_fast,500,256,0.001209332,1.963019e-05,0.004430597,0.2729502,2.109267e-05,0.004553165,0.95
indirect,one-step,hal,100,60,0.001220411,1.935189e-05,0.004399078,0.2774243,2.084129e-05,0.004528392,0.91
indirect,one-step,hal,200,127,0.0009272753,1.741075e-05,0.004172619,0.2222286,1.827059e-05,0.004543031,0.98
indirect,one-step,hal,500,492,0.001235574,1.958905e-05,0.004425952,0.2791658,2.111569e-05,0.004556098,0.944
indirect,TMLE,glm_fast,100,28,0.001083267,1.649212e-05,0.00406105,0.2667455,1.766559e-05,0.004350968,0.97
indirect,TMLE,glm_fast,200,66,0.000808602,1.664688e-05,0.004080059,0.1981839,1.730072e-05,0.004373933,0.965
indirect,TMLE,glm_fast,500,256,0.00114210,1.808544e-05,0.004252697,0.2685609,1.938985e-05,0.004396178,0.956
indirect,TMLE,hal,100,60,0.001148005,1.739804e-05,0.004171096,0.2752287,1.871596e-05,0.004365288,0.96
indirect,TMLE,hal,200,127,0.00111226,1.616048e-05,0.00402001,0.2766809,1.73976e-05,0.004373798,0.97
indirect,TMLE,hal,500,492,0.001160663,1.840612e-05,0.004290235,0.2705361,1.975326e-05,0.004395537,0.958
